date,state,fips,cases,deaths
2020-04-19,Andalucía,1,993,993
2020-04-19,Aragón,1,619,619
2020-04-19,Asturias,1,196,196
2020-04-19,Baleares,1,155,155
2020-04-19,Canarias,1,119,119
2020-04-19,Cantabria,1,153,153
2020-04-19,Castilla-La Mancha,1,1963,1963
2020-04-19,Castilla y León,1,1458,1458
2020-04-19,Cataluña,1,3933,3933
2020-04-19,Ceuta,1,4,4
2020-04-19,C. Valenciana,1,1065,1065
2020-04-19,Extremadura,1,384,384
2020-04-19,Galicia,1,346,346
2020-04-19,Madrid,1,7239,7239
2020-04-19,Melilla,1,2,2
2020-04-19,Murcia,1,116,116
2020-04-19,Navarra,1,369,369
2020-04-19,País Vasco,1,1062,1062
2020-04-19,La Rioja,1,277,277
2020-04-18,Andalucía,1,967,967
2020-04-18,Aragón,1,601,601
2020-04-18,Asturias,1,187,187
2020-04-18,Baleares,1,148,148
2020-04-18,Canarias,1,115,115
2020-04-18,Cantabria,1,149,149
2020-04-18,Castilla-La Mancha,1,1913,1913
2020-04-18,Castilla y León,1,1429,1429
2020-04-18,Cataluña,1,3879,3879
2020-04-18,Ceuta,1,4,4
2020-04-18,C. Valenciana,1,1042,1042
2020-04-18,Extremadura,1,380,380
2020-04-18,Galicia,1,334,334
2020-04-18,Madrid,1,7132,7132
2020-04-18,Melilla,1,2,2
2020-04-18,Murcia,1,115,115
2020-04-18,Navarra,1,354,354
2020-04-18,País Vasco,1,1020,1020
2020-04-18,La Rioja,1,272,272
2020-04-17,Andalucía,1,940,940
2020-04-17,Aragón,1,562,562
2020-04-17,Asturias,1,174,174
2020-04-17,Baleares,1,134,134
2020-04-17,Canarias,1,111,111
2020-04-17,Cantabria,1,144,144
2020-04-17,Castilla-La Mancha,1,1852,1852
2020-04-17,Castilla y León,1,1401,1401
2020-04-17,Cataluña,1,3752,3752
2020-04-17,Ceuta,1,4,4
2020-04-17,C. Valenciana,1,999,999
2020-04-17,Extremadura,1,372,372
2020-04-17,Galicia,1,320,320
2020-04-17,Madrid,1,7007,7007
2020-04-17,Melilla,1,2,2
2020-04-17,Murcia,1,112,112
2020-04-17,Navarra,1,338,338
2020-04-17,País Vasco,1,992,992
2020-04-17,La Rioja,1,262,262
2020-04-16,Andalucía,1,912,912
2020-04-16,Aragón,1,543,543
2020-04-16,Asturias,1,168,168
2020-04-16,Baleares,1,131,131
2020-04-16,Canarias,1,107,107
2020-04-16,Cantabria,1,137,137
2020-04-16,Castilla-La Mancha,1,1796,1796
2020-04-16,Castilla y León,1,1372,1372
2020-04-16,Cataluña,1,3855,3855
2020-04-16,Ceuta,1,4,4
2020-04-16,C. Valenciana,1,972,972
2020-04-16,Extremadura,1,359,359
